Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Planococcus	stackebrandtii	K22-03T	Planococcus stackebrandtii	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Kitasatospora	nipponensis	HKI0315T	Kitasatospora nipponensis	yes	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Streptomyces	iranensis	HM 35	Streptomyces iranensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kitasatospora	gansuensis	HKI0314T	Kitasatospora gansuensis	yes	NA	yes	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA
Kitasatospora	terrestris	HKI0186T	Kitasatospora terrestris	yes	NA	yes	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA
Kitasatospora	paranensis	HKI0190T	Kitasatospora paranensis	yes	NA	yes	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA
Bacillus	farraginis	R-6540T 	Bacillus farraginis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	fortis	R-6514T 	Bacillus fortis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	fordii	R-7190T	Bacillus fordii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Psychrobacter	arcticus	273-4	Psychrobacter arcticus	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Muricauda	flavescens	SW-62T	Muricauda flavescens	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Muricauda	aquimarina	SW-63T	Muricauda aquimarina	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Shewanella	profunda	LT13aT	Shewanella profunda	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA
Lactobacillus	suntoryeus	SAT	Lactobacillus suntoryeus	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sphingomonas	phyllosphaerae	FA2T	Sphingomonas phyllosphaerae	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Erythrobacter	aquimaris	SW110T	Erythrobacter aquimaris	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Glycomyces	lechevalierae	NRRL B-16149T	Glycomyces lechevalierae	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Glycomyces	arizonensis	NRRL B-16153T	Glycomyces arizonensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Glycomyces	algeriensis	NRRL B-16327T	Glycomyces algeriensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Shewanella	marisflavi	SW-117T	Shewanella marisflavi	NA	NA	NA	NA	NA	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA
Shewanella	aquimarina	SW-120T	Shewanella aquimarina	NA	NA	NA	NA	NA	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA
Pseudovibrio	denitrificans	DN34T	Pseudovibrio denitrificans	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Acetanaerobacterium 	elongatum	Z7T	Acetanaerobacterium elongatum	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Pseudoclavibacter	chungangensis	CAU 59	Pseudoclavibacter chungangensis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Halomonas	anticariensis	FP35T	Halomonas anticariensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Halomonas	anticariensis	FP35T 	Halomonas anticariensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Clostridium	jejuense	HY-35-12T 	Clostridium jejuense	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia	phytofirmans	PsJNT	Burkholderia phytofirmans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Asticcacaulis	taihuensis	T3-B7T	Asticcacaulis taihuensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Amycolatopsis	xylanica	CPCC 202699	Amycolatopsis xylanica	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Novosphingobium	taihuense	T3-B9T	Novosphingobium taihuense	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Pseudonocardia 	ammonioxydans	H9	Pseudonocardia ammonioxydans	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	yes	NA	NA	NA	yes
Cellulosimicrobium	funkei	W6122	Cellulosimicrobium funkei	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Agromyces	neolithicus	 23-23T	Agromyces neolithicus	NA	yes	yes	NA	NA	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA
Agromyces	salentinus	20-5T	Agromyces salentinus	NA	yes	NA	NA	NA	yes	NA	yes	NA	NA	NA	yes	NA	NA	yes
Psychrobacter	alimentarius	JG-100T	Psychrobacter alimentarius	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chryseobacterium	kwangjuense	KJ1R5	Chryseobacterium kwangjuense	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Treponema	porcinum	14V28T	Treponema porcinum	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thermosinus	carboxydivorans	Nor1T	Thermosinus carboxydivorans	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Nautilia 	Nautilia nitratireducens	MB-1	Nautilia nitratireducens	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kangiella	koreensis	SW-125T	Kangiella koreensis	NA	NA	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Kangiella	aquimarina	 SW-154T	Kangiella aquimarina	yes	NA	yes	NA	NA	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA
Janibacter	melonis	CM2104T	Janibacter melonis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Rhodococcus	imtechensis	RKJ300	Rhodococcus imtechensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Idiomarina	ramblicola	R22T	Idiomarina ramblicola	NA	yes	NA	NA	NA	yes	NA	yes	NA	NA	NA	yes	NA	NA	NA
Salipiger	mucescens	A3T	Salipiger mucescens	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	yes	NA	NA	NA
Pantoea	allii	BD 390T	Pantoea allii	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA
Aeromonas	molluscorum	848TT	Aeromonas molluscorum	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Millisia	brevis	J81	Millisia brevis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Iamia	majanohamensis	F12T 	Iamia majanohamensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Granulosicoccus 	Granulosicoccus coccoides	Z 271	Granulosicoccus coccoides	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Anaerosporobacter	mobilis	HY-37-4T	Anaerosporobacter mobilis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Phenylobacterium	lituiforme	FaiI3T	Phenylobacterium lituiforme	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Photobacterium	frigidiphilum	SL13T	Photobacterium frigidiphilum	NA	NA	NA	NA	NA	yes	NA	NA	yes	NA	yes	yes	NA	NA	NA
Marinomonas	pontica	46-16T	Marinomonas pontica	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Aquimonas	voraii	GPTSA20T	Aquimonas voraii	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Pseudoxanthomonas	koreensis	T7-09T	Pseudoxanthomonas koreensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Pseudoxanthomonas	daejeonensis	TR6-08T	Pseudoxanthomonas daejeonensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Haloterrigena	daqingensis	JX313	Haloterrigena daqingensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Photobacterium	haloterans	MACL01	Photobacterium haloterans	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Salinimonas	chungwhensis	BH030046T	Salinimonas chungwhensis	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	yes
Pontibacillus	 chungwhensis	BH030062T	Pontibacillus chungwhensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Porphyrobacter	donghaensis	SW-132T	Porphyrobacter donghaensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Odoribacter	denticanis	B106	Odoribacter denticanis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Micromonospora	rifamycinica	AM105	Micromonospora rifamycinica	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Geobacillus	tepidamans	GS5-97T	Geobacillus tepidamans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Microbacterium	natoriense	TNJL143-2T	Microbacterium natoriense	NA	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	yes	NA	yes
Granulicoccus	phenolivorans	PG-02T	Granulicoccus phenolivorans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Nitrincola	lacisaponensis	4CAT	Nitrincola lacisaponensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Shewanella	xiamenensis	S4	Shewanella xiamenensis	yes	NA	yes	NA	NA	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA
Actinomadura	napierensis	B60T	Actinomadura napierensis	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Advenella	incenata	LMG 22250T	Advenella incenata	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Petrimonas	sulfuriphila	BN3T	Petrimonas sulfuriphila	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Mycobacterium	pseudoshottsii	L15T	Mycobacterium pseudoshottsii	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Nesterenkonia	aethiopica	DSM 17733	Nesterenkonia aethiopica	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Balneola	vulgaris	13IX/A01/164	Balneola vulgaris	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hellea	balneolensis	 26III/A02/215	Hellea balneolensis	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Haliea	salexigens	3X/A02/235	Haliea salexigens	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Shewanella	canadensis	HAW-EB2T	Shewanella canadensis	NA	NA	yes	NA	NA	yes	yes	yes	NA	NA	yes	yes	NA	NA	yes
Shewanella	sediminis	HAW-EB3T	Shewanella sediminis	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Sphingopyxis	soli	BL03	Sphingopyxis soli	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	yes
Shewanella	halifaxensis	HAW-EB4	Shewanella halifaxensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Shewanella	atlantica	HAW-EB5T	Shewanella atlantica	NA	NA	yes	NA	NA	yes	NA	yes	NA	NA	yes	yes	NA	NA	yes
Flavobacterium	weaverense	AT1042	Flavobacterium weaverense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Flavobacterium	segetis	AT1048	Flavobacterium segetis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Olleya	marilimosa	CAM030T	Olleya marilimosa	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Nesterenkonia	sandarakina	YIM70009T	Nesterenkonia sandarakina	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Nesterenkonia	lutea	YIM70081T	Nesterenkonia lutea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Paenibacillus	phyllosphaerae	 PALXIL04T	Paenibacillus phyllosphaerae	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Loktanella	hongkongensis	UST950701-009PT	Loktanella hongkongensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Acidovorax	soli	BL21	Acidovorax soli	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Rhodococcus	yunnanensis	YIM 70056T	Rhodococcus yunnanensis	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bacillus	malacitensis	CR-95T	Bacillus malacitensis	NA	yes	NA	NA	NA	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA
Bacillus	axarquiensis	CR-119T	Bacillus axarquiensis	NA	yes	NA	NA	NA	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA
Bacillus	velezensis	CR-502T	Bacillus velezensis	NA	yes	NA	NA	NA	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA
Pontibacillus	marinus	BH030004T	Pontibacillus marinus	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Bacillus	alveayuensis	TM1T 	Bacillus alveayuensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sphingopyxis	baekryungensis	SW-150T	Sphingopyxis baekryungensis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Rhodanobacter 	soli	DCY45	Rhodanobacter soli	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	litoralis	SW-211T	Bacillus litoralis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Segniliparus	rugosus	CDC945T	Segniliparus rugosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA
Virgibacillus	koreensis	BH30097	Virgibacillus koreensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Agromyces	italicus	CD1T	Agromyces italicus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Agromyces	humatus	CD5T	Agromyces humatus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Agromyces	lapidis	CD55T	Agromyces lapidis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Nocardiopsis	gilva	YIM 90087	Nocardiopsis gilva	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Nocardiopsis	rosea	YIM 90094	Nocardiopsis rosea	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Kocuria	atrinae	P30	Kocuria atrinae	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
10.1099/ijs.0.006320-0	jicamae	PAC68T	10.1099/ijs.0.006320-0 jicamae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes
Bradyrhizobium	pachyrhizi	PAC48T	Bradyrhizobium pachyrhizi	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes
Nocardia 	polyresistens	YIM33361T	Nocardia polyresistens	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Jiangella	gansuensis	YIM002T	Jiangella gansuensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
Leptospira	alstonii	79601	Leptospira alstonii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Actinomyces	hominis	1094	Actinomyces hominis	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	yes	NA	yes	NA	NA
Leptospira	vanthielii	WaZ Holland	Leptospira vanthielii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Nocardioides	alkalitolerans	KSL-1T	Nocardioides alkalitolerans	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Phyllobacterium	catacumbae	CSC19T	Phyllobacterium catacumbae	NA	yes	NA	NA	NA	yes	NA	yes	NA	NA	yes	yes	NA	NA	yes
Ornithinimicrobium 	kibberense	K22-20	Ornithinimicrobium kibberense	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Psychrobacter	cibarius	JG-219T	Psychrobacter cibarius	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Nocardia	miyunensis	117T	Nocardia miyunensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Nocardia	jiangxiensis	43401T	Nocardia jiangxiensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Thalassomonas 	loyana	CBMAI 722	Thalassomonas loyana	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Erythrobacter	nanhaisediminis	T30	Erythrobacter nanhaisediminis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Thalassomonas	loyana	CBMAI 722	Thalassomonas loyana	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Martelella	mediterranea	MACL11T	Martelella mediterranea	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Stackebrandtia	nassauensis	NRRLB-16338T	Stackebrandtia nassauensis	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Psychrobacter	cryohalolentis	K5	Psychrobacter cryohalolentis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Tenacibaculum	lutimaris	TF-26T	Tenacibaculum lutimaris	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Kushneria	sinocarnis	Z35	Kushneria sinocarnis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Lentibacillus	salarius	BH139T	Lentibacillus salarius	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Bacillus	seohaeanensis	BH724	Bacillus seohaeanensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Bacillus	koreensis	BR030	Bacillus koreensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lentibacillus	lacisalsi	BH260T	Lentibacillus lacisalsi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Acetobacter	nitrogenifigens	RG1	Acetobacter nitrogenifigens	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Halomonas	taeanensis	BH539T	Halomonas taeanensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA
Altererythrobacter	troitsensis	KMM 6042	Altererythrobacter troitsensis	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Bacillus	massiliensis	4400831	Bacillus massiliensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Naxibacter	alkalitolerans	YIM31775T	Naxibacter alkalitolerans	NA	yes	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	yes
Lactobacillus	oeni	 59bT	Lactobacillus oeni	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bizionia	Bizionia echini	KMM 6177	Bizionia echini	NA	NA	yes	NA	NA	yes	NA	yes	NA	NA	NA	yes	NA	NA	NA
Lactobacillus	bobalius	203	Lactobacillus bobalius	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Loktanella	agnita	R10SW5T	Loktanella agnita	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Loktanella	rosea	Fg36T	Loktanella rosea	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Salegentibacter	flavus	Fg 69	Salegentibacter flavus	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Alteromonas	addita	R10SW13T	Alteromonas addita	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Yeosuana	aromativorans	GW1-1	Yeosuana aromativorans	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Kordiimonas	gwangyangensis	GW14-5T	Kordiimonas gwangyangensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Methylobacterium	oryzae	CBMB20T	Methylobacterium oryzae	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Lactobacillus	concavus	C-5-1T	Lactobacillus concavus	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alcanivorax	dieselolei	B-5T	Alcanivorax dieselolei	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Pseudidiomarina	aestuarii	KYW314	Pseudidiomarina aestuarii	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Corynebacterium	hansenii	C-138T	Corynebacterium hansenii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Yania	flava	YIM 70178T	Yania flava	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Alcanivorax	balearicus	MACL04T	Alcanivorax balearicus	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Pseudoxanthomonas	kalamensis	JA40	Pseudoxanthomonas kalamensis	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Gluconacetobacter	kombuchae	RG3T	Gluconacetobacter kombuchae	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pseudomonas	argentinensis	CH01T	Pseudomonas argentinensis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
Caminibacter	mediatlanticus	TB-2T	Caminibacter mediatlanticus	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA
Lacinutrix	copepodicola	DJ3T	Lacinutrix copepodicola	NA	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Nocardia	callitridis	CAP290	Nocardia callitridis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Subsaximicrobium	wynnwilliamsii	G#7T	Subsaximicrobium wynnwilliamsii	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Subsaximicrobium	saxinquilinus	Y4-5T	Subsaximicrobium saxinquilinus	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Subsaxibacter	broadyi	P7T	Subsaxibacter broadyi	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Bizionia	myxarmorum	ADA-4T	Bizionia myxarmorum	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	yes
Bizonia	algoritergicola	APA1-T	Bizonia algoritergicola	NA	NA	yes	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	yes
Bizionia	gelidisalsuginis	IC164T	Bizionia gelidisalsuginis	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Bizionia	saleffrena	HFDT	Bizionia saleffrena	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Gillisia	hiemivivida	IC154T	Gillisia hiemivivida	NA	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	yes
Gillisia	sandarakina	IC148T	Gillisia sandarakina	NA	NA	yes	yes	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Gillisia	illustrilutea	IC157T	Gillisia illustrilutea	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cellulosibacter	Alkalithermophilus	A6	Cellulosibacter alkalithermophilus	NA	NA	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA
Gelidibacter	gilvus	IC162T	Gelidibacter gilvus	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gelidibacter	salicanalis	IC162T	Gelidibacter salicanalis	NA	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	yes
Pusillimonas	noertemannii	BN9T	Pusillimonas noertemannii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Algoriphagus	yeomjeoni	MSS-160T	Algoriphagus yeomjeoni	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Rheinheimera	texasensis	A62-14BT	Rheinheimera texasensis	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Psychrobacter	aquimaris	SW-210T	Psychrobacter aquimaris	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Psychrobacter	namhaensis	SW-242T	Psychrobacter namhaensis	NA	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Desulfonatronum	cooperativum	Z-7999T	Desulfonatronum cooperativum	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA
Prevotella	saccharolytica	 D033B-12-2	Prevotella saccharolytica	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhodococcus 	kroppenstedtii	K07-23	Rhodococcus kroppenstedtii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA
