Genus	Species	Strain	Name	acid phosphatase	aesculin hydrolysis	alkaline phosphatase	alpha-galactosidase	arylsulfatase	catalase positive	gelatinase	H2S production	indole production	methane production	nitrate reduction to nitrite	oxidase positive	pyrazinamidase	tellurite reductase	urease positive
Pseudovibrio	japonicus 	WSF2T	Pseudovibrio japonicus	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA
Caulobacter	daechungensis	H-E3-2	Caulobacter daechungensis	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Melghirimyces	thermohalophilus	Nari11A	Melghirimyces thermohalophilus	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Frischella	perrara	PEB0191	Frischella perrara	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Enterococcus	alcedinis	L34	Enterococcus alcedinis	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Flavobacterium	cutihirudinis	E89	Flavobacterium cutihirudinis	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA
Streptosporangium	sandarakinum	GW-12028	Streptosporangium sandarakinum	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Tenacibaculum	xiamenense	WJ-1	Tenacibaculum xiamenense	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	yes
Lysinibacillus	manganicus	Mn1-7	Lysinibacillus manganicus	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Sulfurospirillum	cavolei	Phe91T	Sulfurospirillum cavolei	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA
Paraperlucidibaca	wandonensis	WT-RY4	Paraperlucidibaca wandonensis	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Fabibacter	pacificus	DY53	Fabibacter pacificus	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Amorphus	suaedae	YC6899	Amorphus suaedae	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Mycobacterium	sediminis	YIM M13028	Mycobacterium sediminis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Mycobacterium	arabiense	YIM 121001	Mycobacterium arabiense	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	yes
Ferrimonas	gelatinilytica	CJ24	Ferrimonas gelatinilytica	NA	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	NA	NA	NA	NA
Halopenitus	malekzadehii	CC65	Halopenitus malekzadehii	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Roseivivax	pacificus	22DY03	Roseivivax pacificus	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	yes
Arenicella	chitinivorans	KMM 6208	Arenicella chitinivorans	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	NA
Nocardioides	salsibiostraticola	PAMC 26527	Nocardioides salsibiostraticola	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Paenibacillus	terrigena	A35T	Paenibacillus terrigena	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Luteibaculum	oceani	CC-AMWY-103B	Luteibaculum oceani	yes	yes	yes	NA	NA	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA
Shimia	biformata	CC-AMW-C	Shimia biformata	yes	yes	yes	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Pleomorphomonas	diazotrophica	R5-392	Pleomorphomonas diazotrophica	yes	yes	yes	yes	NA	yes	NA	NA	yes	NA	NA	yes	NA	NA	yes
Pseudoruegeria	haliotis	WM67	Pseudoruegeria haliotis	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	yes
Shimia	haliotis	WM35	Shimia haliotis	yes	NA	yes	yes	NA	yes	yes	NA	NA	NA	yes	yes	NA	NA	NA
Moniliella	byzovii	2041.7	Moniliella byzovii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA	yes
Mucilaginibacter	gynuensis	YC7003	Mucilaginibacter gynuensis	NA	yes	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amnibacterium	soli	PB243	Amnibacterium soli	yes	yes	NA	yes	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lysinibacillus	contaminans	FSt3A	Lysinibacillus contaminans	NA	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	yes	NA	NA	yes
Falsochrobactrum	ovis	B1315	Falsochrobactrum ovis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Sphingomonas	molluscorum	KMM3882T	Sphingomonas molluscorum	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Kaistia	hirudinis	E94	Kaistia hirudinis	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	yes	yes	NA	NA	NA
Algibacter	undariae	WS-MY9	Algibacter undariae	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Kribbella	albertanoniae	BC640	Kribbella albertanoniae	NA	yes	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	NA	NA
Niabella	hirudinis	E96	Niabella hirudinis	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Niabella	drilacis	E90	Niabella drilacis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes	NA	NA	NA
Loktanella	sediminilitoris	D1-W3	Loktanella sediminilitoris	NA	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Kroppenstedtia	guangzhouensis	GD02	Kroppenstedtia guangzhouensis	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	NA	NA	NA
Alcanivorax	marinus	R8-12	Alcanivorax marinus	yes	yes	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Cohnella	lupini	NA	Cohnella lupini	NA	NA	NA	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Arthrobacter	niigatensis	LC4T	Arthrobacter niigatensis	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	yes	NA	NA	NA	yes
Cohnella	lupini	 RLAHU4BT	Cohnella lupini	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Cohnella	Lupini	RLAHU4BT	Cohnella lupini	yes	NA	yes	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Cohnella	Lupini	RLAHU4B	Cohnella lupini	NA	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Cohnella	lupini	RLAHU4B	Cohnella lupini	yes	yes	yes	yes	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Paenibacillus	endophyticus	PECAE04	Paenibacillus endophyticus	NA	yes	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	NA	NA
Mycobacterium 	paragordonae	49061T	Mycobacterium paragordonae	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	yes	yes	yes
Mycobacterium	paragordonae	49061	Mycobacterium paragordonae	NA	NA	NA	NA	yes	yes	NA	NA	NA	NA	NA	NA	yes	yes	yes
Arthrobacter	alkaliphilus	LC6T	Arthrobacter alkaliphilus	yes	NA	yes	yes	NA	yes	NA	NA	NA	NA	NA	NA	yes	NA	yes
Mycobacterium gordonae	Mycobacterium paragordonae	49061	Mycobacterium gordonae Mycobacterium paragordonae	NA	NA	NA	NA	yes	NA	NA	NA	NA	NA	yes	NA	yes	yes	yes
Mycobacterium	paragordonae	NA	Mycobacterium paragordonae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	yes
